objectid,title,date,object_location,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,display_template,object_location,image_small,image_thumb
coll033,Status of women in North Carolina : health & wellness,2019,https://digital.ncdcr.gov/Documents/Detail/status-of-women-in-north-carolina-health-wellness/3689635,,"Shaw, Elyse.",,2019; The second in a series of four publications on women's status in North Carolina commissioned by the North Carolina Council for Women and Youth Involvement.,,Public health--North Carolina; Women--Diseases--North Carolina; Women--Health and hygiene--North Carolina; Women's health services--North Carolina,North Carolina,,,,,North Carolina State Documents Collection. State Library of North Carolina,,,pubs_1136665944_status201906,Copyrighted Material,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/status-of-women-in-north-carolina-health-wellness/3689635,/objects/small/33status2019_sm.jpg,/objects/small/33status2019_sm.jpg
coll034,Pro-Woman Suffrage Circular: Twelve Reasons Why Women Should Vote,,https://digital.ncdcr.gov/Documents/Detail/pro-woman-suffrage-circular-twelve-reasons-why-women-should-vote/766408,,Equal Suffrage Association of North Carolina.,,A Circular listing twelve reasons why women should be able to vote.,,Equal Suffrage League of North Carolina; League of Women Voters; National American Woman Suffrage Association; States' rights (American politics); Women; Women and the law; Women in politics; Women--History--20th century; Women--Suffrage,Raleigh; Wake County; North Carolina,,,,,Equal Suffrage Amendment Collection. Private Collections. State Archives of North Carolina,https://axaem.archives.ncdcr.gov/findingaids/PC_1618_Equal_Suffrage_Amendmen_.html,PC.1618,PC_1618_EqualSufferageAmendment19th_1920_ProSuffrageCerculars_12Reasons,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Image; Text,image/jpeg,English,,,https://digital.ncdcr.gov/Documents/Detail/pro-woman-suffrage-circular-twelve-reasons-why-women-should-vote/766408,/objects/small/34twelvereasonswomenshouldvote_sm.jpg,/objects/small/34twelvereasonswomenshouldvote_sm.jpg
coll035,"Photographs: NC. Equal Suffrage Association, headquarters",,https://digital.ncdcr.gov/Documents/Detail/photographs-nc.-equal-suffrage-association-headquarters/772698,,,,"Photographs of the Equal Suffrage Association headquarters office, both inside (image 1) with Gertrude Weil standing to the left, and the facade outside (image 2) of 116 and 118 Fayetteville Street with banners of NC Equal Suffrage Association and States Rights Defense League of NC (the latter of the two was the anti--suffrage league organization).",,Equal Suffrage League of North Carolina; League of Women Voters; National American Woman Suffrage Association; States' rights (American politics); Women; Women and the law; Women in politics; Women--History--20th century; Women--Suffrage,Raleigh; Wake County; North Carolina,,,,,Equal Suffrage Amendment Collection. Private Collections. State Archives of North Carolina,https://axaem.archives.ncdcr.gov/findingaids/PC_1618_Equal_Suffrage_Amendmen_.html,PC.1618,PC_1618_EqualSufferageAmendment19th_1920_Photographs,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Image; Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/photographs-nc.-equal-suffrage-association-headquarters/772698,/objects/small/35suffrageassociation_sm.jpg,/objects/small/35suffrageassociation_sm.jpg
coll036,Back Our Girls Over There,1917-1918,https://digital.ncdcr.gov/Documents/Detail/back-our-girls-over-there/561864,,"Underwood, Clarence F.",,"WWI poster featuring YWCA switchboard operator at work; masses of soldiers appear in background. Text: ""Back our girls over there. United War Work Campaign""",,"Posters; United War Work Campaign, Inc.; World War, 1914-1918; World War, 1914-1918--War work--Women; World War, 1914-1918--Women; Young Women's Christian Association",,,,,,World War I Papers. Military Collection. State Archives of North Carolina,https://axaem.archives.ncdcr.gov/findingaids/WWI_POSTERS_WWI_Posters_Collect_.html,MilColl.WWI.Posters.4.21.c1 (other copies: MilColl.WWI.Posters.4.21.c2; MilColl.WWI.Posters.4.21.c3; MilColl.WWI.Posters.4.21.c4; MilColl.WWI.Posters.4.21.c5; MilColl.WWI.Posters.4.21.c6),MilColl_WWI_Posters_4_21_c2,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Image,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/back-our-girls-over-there/561864,/objects/small/36posters_421_sm.jpg,/objects/small/36posters_421_sm.jpg
coll037,New Homemakers of America: Activities--Photographs,1929-1984,https://digital.ncdcr.gov/Documents/Detail/new-homemakers-of-america-activities-photographs/65201,,Division of Vocational Education. Department of Public Instruction. State Archives of North Carolina,,"Photographs of activities of New Homemakers of America. Future Homemakers of America collection, 1929-1984, includes correspondence, reports, news clippings, lists of officers, audits, programs, budgets, photographs, and other records on the history of Future Homemakers of America, New Homemakers of America, and Home Economics Related Occupations. New Homemakers of America, a club for African Americans, merged with Future Homemakers of America when school segregation ended.",,African American girls; African Americans; African Americans--Segregation; Future Homemakers of America; Home demonstration work; Home economics--Study and teaching; Home economics--United States; Home economics--United States--History; Home economics--Vocational guidance; North Carolina Future Homemakers of America; Segregation; Women--Vocational guidance,North Carolina,,,,,Division of Vocational Education. Dept. of Public Instruction. State Archives of North Carolina,,Future Homemakers of America: Box 10,SR_DPI_DVE_FHA_B10F2_NHA_Activities_Photos,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Image,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/new-homemakers-of-america-activities-photographs/65201,/objects/small/37nhaactivities_sm.jpg,/objects/small/37nhaactivities_sm.jpg
coll038,"Letter: Sarepta Revis to Daniel W. Revis, June 7, 1863",1863-06-07,https://digital.ncdcr.gov/Documents/Detail/letter-sarepta-revis-to-daniel-w.-revis-june-7-1863/595169,,"Revis, Sarepta.",,"Daniel W. Revis and his wife Sarepta were farmers in Henderson County. They wrote letters to each other during the Civil War while Daniel served in Co. B, 64th Regt., Infantry, North Carolina Troops. Sarepta did not know how to read or write but had family members help her compose letters to send to her husband while he was away. Her letters give a glimpse into her life as she lets him know how their family and farm are faring. In this letter, Sarepta gives Daniel a detailed account of a failed attempt by the Henderson County militia to round up Confederate deserters who were trying to return home. She lists who was killed and injured. There are more deserters than militia in Henderson County.  She wishes she could see Daniel again, and tells him she has moved in with her father.",,"Confederate States of America--Social conditions; Henderson County (N.C.); North Carolina--History--Civil War, 1861-1865--Sources, United States--History--Civil War, 1861-1865; United States--History--Civil War, 1861-1865--Correspondence; United States--History--Civil War, 1861-1865--Desertions; United States--History--Civil War, 1861-1865--Health aspects;  Women--North Carolina--Social conditions; ",Henderson County; North Carolina,,,,,Daniel W. Revis Letters. Private Collections. State Archives of North Carolina,https://axaem.archives.ncdcr.gov/findingaids/PC_1914_Daniel_W__Revis_Letters.html,PC.1914,PC_1914_Daniel_W_Revis_Letters_18630607,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Image; Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/letter-sarepta-revis-to-daniel-w.-revis-june-7-1863/595169,/objects/small/38revisletters_sm.jpg,/objects/small/38revisletters_sm.jpg
coll039,"Future Homemakers of America: History--Photographs--People, Executive Council, State Officers",1929-1984,https://digital.ncdcr.gov/Documents/Detail/future-homemakers-of-america-history-photographs-people-executive-council-state-officers/65996,,North Carolina. Department of Public Instruction.,,"Photographs of people, executive council, and state officers. Future Homemakers of America collection, 1929-1984, includes correspondence, reports, news clippings, lists of officers, audits, programs, budgets, photographs, and other records on the history of Future Homemakers of America, New Homemakers of America, and Home Economics Related Occupations. New Homemakers of America, a club for African Americans, merged with Future Homemakers of America when school segregation ended.",,African American girls; African Americans; African Americans--Segregation; Future Homemakers of America; Home demonstration work; Home economics--Study and teaching; Home economics--United States; Home economics--United States--History; Home economics--Vocational guidance; North Carolina Future Homemakers of America; Segregation; Women--Vocational guidance,North Carolina,,,,,Division of Vocational Education. Dept. of Public Instruction. State Archives of North Carolina,,Future Homemakers of America: Box 1,SR_DPI_DVE_FHA_B1F10_FHA_History_Photos,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Image,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/future-homemakers-of-america-history-photographs-people-executive-council-state-officers/65996,/objects/small/39fhaphotos_sm.jpg,/objects/small/39fhaphotos_sm.jpg
coll040,"Future Homemakers of America: Publications--Newsletters and Bulletins, 1945, 1951, 1978",1945; 1951; 1978,https://digital.ncdcr.gov/Documents/Detail/future-homemakers-of-america-publications-newsletters-and-bulletins-1945-1951-1978/125431,,North Carolina. Department of Public Instruction.,,"Newsletters and bulletins from 1945, 1951, and 1978. Future Homemakers of America collection, 1929-1984, includes correspondence, reports, news clippings, lists of officers, audits, programs, budgets, photographs, and other records on the history of Future Homemakers of America, New Homemakers of America, and Home Economics Related Occupations. New Homemakers of America, a club for African Americans, merged with Future Homemakers of America when school segregation ended.",,African American girls; African Americans; African Americans--Segregation; Future Homemakers of America; Home demonstration work; Home economics--Study and teaching; Home economics--United States; Home economics--United States--History; Home economics--Vocational guidance; North Carolina Future Homemakers of America; Segregation; Women--Vocational guidance,North Carolina,,,,,Division of Vocational Education. Dept. of Public Instruction. State Archives of North Carolina,,Future Homemakers of America: Box 9,SR_DPI_DVE_FHA_B9F5_Newsletters,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Image; Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/future-homemakers-of-america-publications-newsletters-and-bulletins-1945-1951-1978/125431,/objects/small/40fhanewsletters_sm.jpg,/objects/small/40fhanewsletters_sm.jpg
coll041,New Homemakers of America: History--Executive Council and State Officers--Photographs,,https://digital.ncdcr.gov/Documents/Detail/new-homemakers-of-america-history-executive-council-and-state-officers-photographs/125813,,North Carolina. Department of Public Instruction.,,"Photographs of executive council and state officers. Future Homemakers of America collection, 1929-1984, includes correspondence, reports, news clippings, lists of officers, audits, programs, budgets, photographs, and other records on the history of Future Homemakers of America, New Homemakers of America, and Home Economics Related Occupations. New Homemakers of America, a club for African Americans, merged with Future Homemakers of America when school segregation ended.",,African American girls; African Americans; African Americans--Segregation; Future Homemakers of America; Home demonstration work; Home economics--Study and teaching; Home economics--United States; Home economics--United States--History; Home economics--Vocational guidance; North Carolina Future Homemakers of America; Segregation; Women--Vocational guidance,North Carolina,,,,,Division of Vocational Education. Dept. of Public Instruction. State Archives of North Carolina,,Future Homemakers of America: Box 9,SR_DPI_DVE_FHA_B9F9_NHA_Executive_Council_Photos,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Image,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/new-homemakers-of-america-history-executive-council-and-state-officers-photographs/125813,/objects/small/41fhanhaexecutivecouncil_photos_sm.jpg,/objects/small/41fhanhaexecutivecouncil_photos_sm.jpg
coll042,The Girl On The Land Serves The Nation's Need,,https://digital.ncdcr.gov/Documents/Detail/the-girl-on-the-land-serves-the-nations-need/570499,,"Penfield, Edward, 1866-1925.",,"Colored WWI poster shows four uniformed young women leading two horses and carrying farm utensils and vegetables. Text says ""Girl on the Land Serves the Nation's Need,"" and urges young women to apply to the YWCA Land Service Committee.",,"Agriculture; Posters; Women; World War, 1914-1918; World War, 1914-1918--War work--Women; Young Women's Christian Association",,,,,,World War I Papers. Military Collection. State Archives of North Carolina,https://axaem.archives.ncdcr.gov/findingaids/WWI_POSTERS_WWI_Posters_Collect_.html,MilColl.WWI.Posters.4.28.c1 (other copy: MilColl.WWI.Posters.4.28.c2),MilColl_WWI_Posters_4_28_c1,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Image,application/pdf,English,,,/objects/milcollwwiposters_428.jpg,/objects/small/42posters_428_sm.jpg,/objects/small/42posters_428_sm.jpg
coll043,"Women canning produce in Asheville, North Carolina",,https://digital.ncdcr.gov/Documents/Detail/women-canning-produce-in-asheville-n.c./562441,,,,"The Asheville Community Cannery was one of the activities of the local National League for Woman's Service during World War I. It was built in the fountain in the rear of the Buncombe County Court House. They produced 10,000 cans of vegetables in the summer of 1917 and an undetermined number in 1918. Miss May F. Jones was local League Chairman and Mrs. Thomas Smith local Chairman of the Food Conservation Committee.",,"Canneries; Canning and preserving; World War, 1914-1918; World War, 1914-1918--War work--Women",Asheville; Buncombe County; North Carolina,,,,,World War I Papers. Military Collection. State Archives of North Carolina,https://axaem.archives.ncdcr.gov/findingaids/WWI_PC_WWI_Papers_Private_Colle_.html,"Military Collection. World War I Papers. Private Collections. Box 18, Elizabeth Earl Jones, American Red Cross Volunteer, and May F. Jones, Y.M.C.A. Worker, Papers",MilColl_WWI_PC_Jones_Elizabeth_Earl_Photograph_AshvilleCannery_01,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Image,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/women-canning-produce-in-asheville-n.c./562441,/objects/small/43ashevillecannery_sm.jpg,/objects/small/43ashevillecannery_sm.jpg
coll044,Ann Preston Bridgers Papers,1919,https://digital.ncdcr.gov/Documents/Detail/ann-preston-bridgers-papers/561865,,"Bridgers, Ann Preston.",,"Papers of Ann Preston Bridgers relating to her service as YWCA hostess with the American Expeditiionary Forces in France, 1919. Items include correspondence, notes, maps, postcards, and travel documents including Bridgers' passport.",,"United States. Army. American Expeditionary Forces; World War, 1914-1918; World War, 1914-1918--Women--United States; Young Women's Christian Association",France,,,,,Robert R. Bridgers Papers. Private Collections. State Archives of North Carolina,https://axaem.archives.ncdcr.gov/findingaids/PC_1385_Robert_R__Bridgers__181_.html,PC.1385.3,PC_1385_3_Bridgers_Robert_R_Papers_Bridgers_Ann_Items,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Image,application/pdf,English; French,,,https://digital.ncdcr.gov/Documents/Detail/ann-preston-bridgers-papers/561865,/objects/small/44annbridgers_sm.jpg,/objects/small/44annbridgers_sm.jpg
coll045,Grosgrain Ribbon Sash: Vote for Women,,https://digital.ncdcr.gov/Documents/Detail/grosgrain-ribbon-sash-vote-for-women/762601,,,,"Grosgrain Ribbon Sash, with the term ""Vote for Women"" printed on both sides, the sash is 4"" wide X 45"" long.",,Equal Suffrage League of North Carolina; League of Women Voters; National American Woman Suffrage Association; States' rights (American politics); Women; Women and the law; Women in politics; Women--History--20th century; Women--Suffrage,North Carolina,,,,,Equal Suffrage Amendment Collection. Private Collections. State Archives of North Carolina,https://axaem.archives.ncdcr.gov/findingaids/PC_1618_Equal_Suffrage_Amendmen_.html,PC.1618,PC_1618_EqualSufferageAmendment19th_1920_Pennants,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Image; Physical object,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/grosgrain-ribbon-sash-vote-for-women/762601,/objects/small/45votesforwomen_sm.jpg,/objects/small/45votesforwomen_sm.jpg
coll046,Political Cartoons: Pro Women's Suffrage,1920,https://digital.ncdcr.gov/Documents/Detail/political-cartoons-pro-womens-suffrage/761052,,,,Political Cartoons promoting Women's right to vote.,,Equal Suffrage League of North Carolina; League of Women Voters; National American Woman Suffrage Association; States' rights (American politics); Women; Women and the law; Women in politics; Women--History--20th century; Women--Suffrage,North Carolina,,,,,Equal Suffrage Amendment Collection. Private Collections. State Archives of North Carolina,https://axaem.archives.ncdcr.gov/findingaids/PC_1618_Equal_Suffrage_Amendmen_.html,PC.1618,PC_1618_EqualSufferageAmendment19th_1920_ProSuffrageCerculars_Cartoons,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Image; Text,image/jpeg,English,,,https://digital.ncdcr.gov/Documents/Detail/political-cartoons-pro-womens-suffrage/761052,/objects/small/46politicalcartoon_sm.jpg,/objects/small/46politicalcartoon_sm.jpg
coll047,"Hand Held Fan: ""I want to speak for myself at the polls""",,https://digital.ncdcr.gov/Documents/Detail/hand-held-fan-i-want-to-speak-for-myself-at-the-polls/766596,,"National Woman Suffrage Publishing Company, Inc.",,"A hand held fan, one side stating ""Keep Cool and Raise A breeze For Suffrage! Votes for Women, Votes For Women"" the other side has a cartoon drawing with the quote  ""I want to speak for myself at the polls.""",,Equal Suffrage League of North Carolina; League of Women Voters; National American Woman Suffrage Association; States' rights (American politics); Women; Women and the law; Women in politics; Women--History--20th century; Women--Suffrage,New York City; New York County; New York; North Carolina,,,,,Equal Suffrage Amendment Collection. Private Collections. State Archives of North Carolina,https://axaem.archives.ncdcr.gov/findingaids/PC_1618_Equal_Suffrage_Amendmen_.html,PC.1618,PC_1618_EqualSufferageAmendment19th_1920_ProSuffrageCerculars_Fan,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Image; Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/hand-held-fan-i-want-to-speak-for-myself-at-the-polls/766596,/objects/small/47handfan_sm.jpg,/objects/small/47handfan_sm.jpg
coll048,Photograph: Tiny Broadwick shows the backpack parachute,,https://digital.ncdcr.gov/Documents/Detail/photograph-tiny-broadwick-shows-the-backpack-parachute/766274,,,,"Tiny Broadwick wearing her parachute ready for a jump. Tiny was born in Granville County, North Carolina and she was the first woman to make a parachute jump from an airplane.",,"Aircraft industry--United States--History; Brown, Georgia Thompson, 1893-1978; Martin, Glenn L. (Glenn Luther), 1886-1955; Parachuting; Parachuting--Equipment and supplies; Skydivers;  Skydiving; Stunt flying",,,,,,Audio Visual Materials. State Archives of North Carolina,https://axaem.archives.ncdcr.gov/findingaids/PHC_GENERAL_NEGATIVES_General_N_.html,N.61.2-15,N_61_2_15_Tiny_Broadwick,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Image,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/photograph-tiny-broadwick-shows-the-backpack-parachute/766274,/objects/small/48tinybroadwickbackpack_sm.jpg,/objects/small/48tinybroadwickbackpack_sm.jpg
coll049,"Photograph: Tiny Broadwick lands in Griffith Park, Los Angeles, California",1913-06-21,https://digital.ncdcr.gov/Documents/Detail/photograph-tiny-broadwick-lands-in-griffith-park-los-angeles-ca./779633,,,,"A picture of the first landing Tiny Broadwick made from an airplane at Griffith Park, June 21, 1913. Note written on the back reads, ""This picture was taken in action and was a stand up landing.""",,"Aircraft industry--United States--History; Brown, Georgia Thompson, 1893--1978; Parachuting; Parachuting--Equipment and supplies;   Skydivers; Skydiving; Stunt flying",Griffith Park; Los Angeles; California,,,,,Tiny Broadwick Papers. Private Collections. State Archives of North Carolina,https://axaem.archives.ncdcr.gov/findingaids/PC_1567_Tiny_Broadwick_Papers.html,PC 1567,PC_1567_TinyBroadwick_Photos_01,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Image,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/photograph-tiny-broadwick-lands-in-griffith-park-los-angeles-ca./779633,/objects/small/49tinybroadwicklanding_sm.jpg,/objects/small/49tinybroadwicklanding_sm.jpg
coll050,"The Suffragists' Calendar, a year-book for every thinking woman",1916,https://digital.ncdcr.gov/Documents/Detail/the-suffragists-calendar-a-year-book-for-every-thinking-woman/777890,,P. F. Vollard & Co.,,"""The Suffragists' Calendar,"" A Year Book for Every Thinking Woman. A timely and interesting compilation from the writings and speeches of prominent suffragists and their advocates of political enfranchisement of woman. Boxed, silk cord and tassel tied. Price 50 cents net."" This calendar is not year specific but contains an excerpt from writings and speeches for each day starting with January 1st thru December 31st.",,Equal Suffrage League of North Carolina; League of Women Voters; National American Woman Suffrage Association; States' rights (American politics); Women; Women and the law; Women in politics; Women--History--20th century; Women--Suffrage,North Carolina,,,,,Gertrude Weil Papers. Private Collections. State Archives of North Carolina,https://axaem.archives.ncdcr.gov/findingaids/PC_1488_Gertrude_Weil__1879_197_.html,PC.1488,PC_1488_GertrudeWeilPapers_NationalSuffrageAssociation_Calendar,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Image; Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/the-suffragists-calendar-a-year-book-for-every-thinking-woman/777890,/objects/small/50suffragecalendar_sm.jpg,/objects/small/50suffragecalendar_sm.jpg
coll051,"Bennis M. Blue Interview, 2017-11-16 [MilColl OH 1131]",2017-11-16,https://archive.org/details/MilCollOH1131Blue,,"Blue, Bennis M.",,"Bennis Blue was raised in Raleigh, N.C. Self-identifying as a non-tribe affiliated Native American, she is of Native American and African American descent. Blue was stationed with various U.S. Army units from 1976 to 1996 in the U.S. Women's Army Corps (WAC), U.S. Army, and U.S. Army Reserves. She was stationed at the following military installations: Fort McClellan, AL, Fort Bragg, N.C.; Fort Lee, Va.; and at a base in Germany. At Fort Bragg in 1978, Blue became the first female minority officer of the 82nd Airborne Division as a First Lieutenant, and one of the first five women to join the 82nd Airborne as the U.S. Army integrated women with men in their units. She would retire from the Army Reserves with the rank of Major. Blue currently resides in Wake County, N.C.",,"Fort Bragg (N.C.); Fort Lee (Va.); Fort McClellan (Ala.); Military history; Oral histories; Oral history; Personal narratives; Retired military personnel; United States. Army Reserve; United States. Army. Airborne Division, 82nd; United States. Army. Women's Army Corps; Veterans",Raleigh; Wake County; Fort Bragg; Hoke County; North Carolina; Fort Lee; Prince George County; Virginia; Fort McClellan; Calhoun County; Alabama; Germany,,,,,Military Veterans Oral History Collection. Military Collection. State Archives of North Carolina,https://axaem.archives.ncdcr.gov/findingaids/MILCOLL_OH_North_Carolina_Veter_.html,MilColl OH 1131,MilColl_OH_1131_Blue.mp3,All rights held by the State Archives of NC. Permission to publish must be obtained from the registrar in writing.,Prior permission from the State Archives of NC is required for any commercial use. See: https://archives.ncdcr.gov/researchers/services/permissions-and-citations,Sound,audio/wav,English,,,https://archive.org/details/MilCollOH1131Blue,,
coll052,"Elaine de Kooning and Buckminster Fuller's Venetian Blind Strip Dome, 1948 Summer Session in the Arts, Black Mountain College",1948,https://digital.ncdcr.gov/Documents/Detail/elaine-de-kooning-and-buckminster-fullers-venetian-blind-strip-dome-1948-summer-session-in-the-arts-black-mountain-college/282115,,"Guermonprez, Trude, 1910-1976.",,"Elaine de Kooning working on the Venetian Blind Strip Dome (also known as the Supine Dome) which was created as part of Buckminster Fuller's Architecture Class, 1948 Summer Session in the Arts. Photographer: Trude Guermonprez.",,"Architecture; Architecture--Study and teaching; Black Mountain College (Black Mountain, N.C.); Education, Humanistic; Fuller, R. Buckminster (Richard Buckminster), 1895-1983; Universities and colleges; De Kooning, Elaine; Women artists",Black Mountain; Buncombe County; North Carolina,,,,,Black Mountain College Research Project. North Carolina Museum of Art. Western Regional Archives,https://axaem.archives.ncdcr.gov/findingaids/61_12_8_North_Carolina_Museum_o_.html,"BMC Research Project. Series VII (Visual Materials). Box 87. Folder: Guermonprez, Trude (Elsesser) -  Classes (BM Doc. 54 k Guermonprez (Elsesser)) - 61.12.8",BMCRP_VenetianBlindStripDome_GuermonprezTrude,Courtesy of Western Regional Archives. Prior permission from the State Archives of NC is required for any commercial use.,Prior permission from the State Archives of NC is required for any commercial use. See: https://archives.ncdcr.gov/researchers/services/permissions-and-citations,Image,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/elaine-de-kooning-and-buckminster-fullers-venetian-blind-strip-dome-1948-summer-session-in-the-arts-black-mountain-college/282115,/objects/small/52venetianblinddome_sm.jpg,/objects/small/52venetianblinddome_sm.jpg
coll053,"Ruth Asawa, Black Mountain College student, 1946-1949",1946-1949,https://digital.ncdcr.gov/Documents/Detail/ruth-asawa-black-mountain-college-student-1946-1949/281906,,"Black Mountain College (Black Mountain, N.C.); Kalischer, Clemens.",,"Ruth Asawa, Black Mountain College student from 1946-1949, perhaps in an art class. Photographer: Clemens Kalischer.",,"Art--Study and teaching; Asawa, Ruth; Black Mountain College (Black Mountain, N.C.); College students; Universities and colleges   Women artists",Black Mountain; Buncombe County; North Carolina,,,,,Black Mountain College Research Project. North Carolina Museum of Art. Western Regional Archives,,BMC Research Project. Series VII (Visual Materials). Box 91. Folder: North Carolina Division of Archives and History - Portraits - Activities,BMCRP_NCDAH_portraitsActivites_AsawaRuth,Courtesy of Western Regional Archives. Prior permission from the State Archives of NC is required for any commercial use.,Prior permission from the State Archives of NC is required for any commercial use. See: https://archives.ncdcr.gov/researchers/services/permissions-and-citations,Image,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/ruth-asawa-black-mountain-college-student-1946-1949/281906,/objects/small/53ruthasawa_sm.jpg,/objects/small/53ruthasawa_sm.jpg
coll054,Anni Albers card weaving at Black Mountain College,,https://digital.ncdcr.gov/Documents/Detail/anni-albers-card-weaving-at-black-mountain-college/281594,,"Black Mountain College (Black Mountain, N.C.)",,Photograph of Anni Albers card weaving at Black Mountain College. Anni Albers taught Weaving and Textile Design at Black Mountain College from 1933-1949.,,"Albers, Anni; Black Mountain College (Black Mountain, N.C.); College teachers; Education, Humanistic; Universities and colleges; Weaving; Women artists",Black Mountain; Buncombe County; North Carolina,,,,,Black Mountain College Research Project. North Carolina Museum of Art. Western Regional Archives,,"BMC Research Project. Series VII (Visual Materials). Box 90. Folder: North Carolina Division of Archives and History - Albers, Anni",BMCRP_NCDAH_albersAnni_cardweaving,Courtesy of Western Regional Archives. Prior permission from the State Archives of NC is required for any commercial use.,Prior permission from the State Archives of NC is required for any commercial use. See: https://archives.ncdcr.gov/researchers/services/permissions-and-citations,Image,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/anni-albers-card-weaving-at-black-mountain-college/281594,/objects/small/54annialberscarding_sm.jpg,/objects/small/54annialberscarding_sm.jpg
